Date,MM_Long,MM_Short,MM_Spreading,SD_Long,SD_Short,SD_Spreading,OI_Total,LargeTrader_Long,LargeTrader_Short
2025-09-02,492908,8209,63511,266164,18142,196127,492908,436273,460641
2025-08-26,443760,9620,51948,254259,17666,175494,443760,387048,423702
2025-08-19,438541,9389,49394,249567,17674,173388,438541,382443,419818
2025-08-12,446152,9324,49074,259266,18152,182337,446152,392496,426076
2025-08-05,449647,21760,55777,273003,15441,186304,449647,397050,430146
2025-07-29,445259,12294,60464,250058,27650,170918,445259,392043,427526
2025-07-22,489423,11207,62569,264274,32220,194753,489423,435371,464670
2025-07-15,448531,14716,61452,237601,27624,172657,448531,391555,429128
2025-07-08,443144,13615,60427,226901,22901,164685,443144,386853,422239
2025-07-01,437662,12005,61418,223916,19555,165086,437662,384338,418427
2025-06-24,434958,12319,62734,220728,20421,163829,434958,379949,415505
2025-06-17,441214,11066,64028,224900,20483,167646,441214,385374,422453
2025-06-10,417143,13381,62746,212220,16184,160680,417143,363135,398372
2025-06-03,415941,14319,62427,212905,16399,159966,415941,363945,396866
2025-05-27,437538,15935,62127,200751,32218,147502,437538,380997,414400
2025-05-20,448000,20202,59019,193275,35610,149149,448000,393947,427614
2025-05-13,440842,17651,59184,183024,37411,144410,440842,389272,419270
2025-05-06,452414,17705,62990,183924,32433,144383,452414,399782,429388
2025-04-29,451868,17714,62788,180162,40598,150715,451868,401193,428636
2025-04-22,465351,18110,63420,194654,35322,166360,465351,414447,441337
2025-04-15,456628,14214,65819,209428,27233,168400,456628,405279,434981
2025-04-08,445468,14087,66734,206664,27999,175393,445468,394982,426450
2025-04-01,498746,11538,73853,227002,33081,204833,498746,448058,474685
2025-03-25,511482,14682,77439,232089,55908,213505,511482,458630,487432
2025-03-18,533566,23881,88261,237687,50769,220879,533566,480725,507961
2025-03-11,511276,24799,82058,226388,41287,204907,511276,457529,486617
2025-03-04,489270,24881,83460,229110,24258,204965,489270,439668,467522
2025-02-25,512179,24007,84497,242292,33107,212694,512179,463376,489851
2025-02-18,522330,22176,82595,252218,33651,222538,522330,471448,498845
2025-02-11,528719,20935,81836,268488,32186,229071,528719,479210,504594
2025-02-04,542004,19046,82490,286555,33508,240485,542004,492482,518149
2025-01-28,577505,19532,100430,272549,60777,227871,577505,528281,552594
2025-01-21,571387,20111,100717,276429,44578,226964,571387,520749,546573
2025-01-14,526467,21043,95030,258615,40882,206968,526467,478217,501306
2025-01-07,477043,10137,81104,240366,19850,191873,477043,429469,453204
